target_id	functional_annotation
Solyc04g079900	GP63 leishmanolysin 
Solyc04g079910	Coiled-coil domain-containing protein 109A 
Solyc04g079920	Pre-mRNA-splicing factor cwc22 
Solyc04g079930	Os10g0358600 protein 
Solyc04g079940	NAC domain protein IPR003441 
Solyc04g079950	MT-A70 family 
Solyc04g079960	Geranylgeranyl pyrophosphate synthase 2 
Solyc04g079970	Ubiquitin-conjugating enzyme E2 11 
Solyc04g079980	BES1/BZR1 homolog protein 2 
Solyc04g079990	DNA-3-methyladenine glycosylase I 
Solyc04g080000	Peroxisomal membrane protein 11-3 
Solyc04g080010	UDP-glucosyltransferase 
Solyc04g080020	Acyltransferase family protein 
Solyc04g080030	PPPDE peptidase domain-containing protein 1 
Solyc04g080040	UBA/TS-N domain protein 
Solyc04g080050	Xenotropic and polytropic retrovirus receptor 
Solyc04g080060	"APO protein 4, mitochondrial "
Solyc04g080070	Unknown Protein 
Solyc04g080080	Glycosyltransferase family 77 protein 
Solyc04g080090	Phosphatase PTC7 homolog 
Solyc04g080100	Cytochrome P450
Solyc04g080110	"APO protein 4, mitochondrial "
Solyc04g080120	Pentatricopeptide repeat-containing protein 
Solyc04g080130	Zinc finger protein 
Solyc04g080140	Myxococcales GC_trans_RRR domain protein 
Solyc04g080150	60S ribosomal protein L11 
Solyc04g080160	COP9 signalosome complex subunit 4 
Solyc04g080170	Protein serine/threonine kinase 
Solyc04g080180	Uncharacterized membrane protein At1g75140 
Solyc04g080190	Pore protein of 
Solyc04g080200	Unknown Protein 
Solyc04g080210	Plant-specific domain TIGR01568 family protein 
Solyc04g080220	Os12g0581300 protein 
Solyc04g080230	BAC19.4 
Solyc04g080240	PERQ amino acid-rich with GYF domain-containing protein 2 
Solyc04g080250	Deoxyuridine 5&apos-triphosphate nucleotidohydrolase 
Solyc04g080260	Glucan endo-1 3-beta-glucosidase 7 
Solyc04g080270	Genomic DNA chromosome 5 P1 clone MJB21 
Solyc04g080280	Unknown Protein 
Solyc04g080290	CRAL/TRIO domain containing protein expressed 
Solyc04g080300	2-hydroxyacid dehydrongenase 
Solyc04g080310	Unknown Protein 
Solyc04g080320	F-box family protein 
Solyc04g080330	Peroxidase 
Solyc04g080340	Wyosine base formation domain protein 
Solyc04g080350	Genomic DNA chromosome 3 P1 clone MQC12 
Solyc04g080360	Dehydration-responsive family protein 
Solyc04g080370	Cbs domain containing protein expressed 
Solyc04g080380	Unknown Protein 
Solyc04g080390	Unknown Protein 
Solyc04g080400	FAD-binding domain-containing protein 
Solyc04g080410	Myrosinase-binding protein 
Solyc04g080420	Myrosinase binding protein 
Solyc04g080430	5&apos-Nucleotidase 
Solyc04g080440	Maf-like protein CV_0124 
Solyc04g080450	Fatty acid elongase 3-ketoacyl-CoA synthase 
Solyc04g080460	Glucose transporter 8 
Solyc04g080470	DNA-3-methyladenine glycosylase 1 
Solyc04g080480	AMP-dependent synthetase and ligase 
Solyc04g080490	Zinc finger-homeodomain protein 1 
Solyc04g080500	Myb family transcription factor 
Solyc04g080510	CBS domain containing protein expressed 
Solyc04g080520	Unknown Protein 
Solyc04g080530	Pectinesterase family protein 
Solyc04g080540	ST225 
Solyc04g080550	Phenylcoumaran benzylic ether reductase 
Solyc04g080560	Unknown Protein 
Solyc04g080570	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase "
Solyc04g080580	Kinase PfkB family 
Solyc04g080590	Proteasome subunit alpha type 
Solyc04g080600	UBA domain-containing protein 
Solyc04g080610	Ornithine carbamoyltransferase 
Solyc04g080620	Mannan endo-1 4-beta-mannosidase 
Solyc04g080630	50S ribosomal protein L31 
Solyc04g080640	Genomic DNA chromosome 5 TAC clone K1F13 
Solyc04g080650	Cytochrome P450
Solyc04g080660	Carboxyl methyltransferase 4 
Solyc04g080670	Inositol pentakisphosphate 2-kinase 
Solyc04g080680	26S protease regulatory subunit 8 homolog 
Solyc04g080690	SEC14-like protein 
Solyc04g080700	Wound responsive protein 
Solyc04g080710	BHLH transcription factor-like protein 
Solyc04g080720	Transferase family protein 
Solyc04g080730	Mitogen-activated protein kinase 9 
Solyc04g080740	BZIP transcription factor family protein 
Solyc04g080750	Transmembrane protein 136 
Solyc04g080760	Peroxidase 
Solyc04g080770	GTP-binding protein hflX 
Solyc04g080780	BEL1-like homeodomain protein 11 
Solyc04g080790	BEL1-like homeodomain protein 3 
Solyc04g080800	Ribosomal RNA small subunit methyltransferase I 
Solyc04g080810	Ubiquitin-conjugating enzyme E2 W 
Solyc04g080820	Cytokinin oxidase/dehydrogenase 
Solyc04g080830	Pentatricopeptide repeat-containing protein 
Solyc04g080840	Beta-galactosidase 
Solyc04g080850	Thioredoxin 
Solyc04g080860	Unknown Protein 
Solyc04g080870	Peptidase S16 lon domain protein 
Solyc04g080880	Cathepsin B-like cysteine proteinase 
Solyc04g080890	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 
Solyc04g080900	GTPase obg 
Solyc04g080910	Ethylene-responsive transcription factor 13 
Solyc04g080920	Purple acid phosphatase 
Solyc04g080930	Peroxisome biogenesis factor 10 
Solyc04g080940	Nodulin-like protein 
Solyc04g080950	Genomic DNA chromosome 5 P1 clone MQD19 
Solyc04g080960	Cysteine proteinase cathepsin F 
Solyc04g080970	Short internode related sequence 5 
Solyc04g080980	Coatomer alpha subunit-like protein 
Solyc04g080990	C4-dicarboxylate transporter/malic acid transport family protein 
Solyc04g081000	MADS box transcription factor 
Solyc04g081010	LIPOPROTEIN VSAF 
Solyc04g081020	Zinc finger protein CONSTANS-LIKE 3 
Solyc04g081030	Protein LTV1 homolog 
Solyc04g081040	Unknown Protein 
Solyc04g081050	TPR repeat-containing protein 
Solyc04g081060	Kinesin like protein 
Solyc04g081070	Heat shock protein DnaJ domain protein 
Solyc04g081080	"Receptor like kinase, RLK"
Solyc04g081090	V-type proton ATPase 16 kDa proteolipid subunit c2 
Solyc04g081100	Amine oxidase 
Solyc04g081110	Glyoxal oxidase 
Solyc04g081120	Glyoxal oxidase 
Solyc04g081130	Glyoxal oxidase 
Solyc04g081140	Glyoxal oxidase 
Solyc04g081150	Histone H3 
Solyc04g081160	Cell growth defect factor 2 
Solyc04g081170	GAGA-binding transcriptional activator 
Solyc04g081180	Unknown Protein 
Solyc04g081190	BZIP transcription factor family protein expressed 
Solyc04g081200	Regulator of chromosome condensation 
Solyc04g081210	Calmodulin binding protein IQ 
Solyc04g081220	Genomic DNA chromosome 5 P1 clone MIJ24 
Solyc04g081230	L
Solyc04g081240	Auxin response factor 5 
Solyc04g081250	Auxin-induced SAUR-like protein 
Solyc04g081260	Filament-like plant protein 
Solyc04g081270	Auxin-induced SAUR-like protein 
Solyc04g081280	5&apos-3&apos exoribonuclease 2 
Solyc04g081290	Lysine decarboxylase-like protein 
Solyc04g081300	Endoglucanase 1 
Solyc04g081310	Diphthine synthase 
Solyc04g081320	Unknown Protein 
Solyc04g081330	Chromosome 11 contig 1 DNA sequence. 
Solyc04g081340	Receptor expression-enhancing protein 3 
Solyc04g081350	Transcription factor E2F 
Solyc04g081360	tRNA 
Solyc04g081370	Transcription factor 
Solyc04g081380	Unknown Protein 
Solyc04g081390	Unknown Protein 
Solyc04g081400	Hexokinase 1 
Solyc04g081410	AP-2 complex subunit sigma-1 
Solyc04g081420	Unknown Protein 
Solyc04g081430	Mediator of RNA polymerase II transcription subunit 7 
Solyc04g081440	Neutral invertase like protein 
Solyc04g081450	Unknown Protein 
Solyc04g081460	Unknown Protein 
Solyc04g081470	Os05g0596200 protein 
Solyc04g081480	Unknown Protein 
Solyc04g081490	Tubulin beta-1 chain 
Solyc04g081500	BRCA1-A complex subunit BRE 
Solyc04g081510	Os01g0873900 protein 
Solyc04g081520	Laccase-16 
Solyc04g081530	Chaperone protein dnaJ 11 
Solyc04g081540	Kinesin heavy chain isolog 
Solyc04g081550	Thaumatin-like protein 
Solyc04g081560	Thaumatin-like protein 
Solyc04g081570	Chaperone protein htpG 
Solyc04g081580	ATP dependent RNA helicase 
Solyc04g081590	"Receptor like kinase, RLK"
Solyc04g081600	Unknown Protein 
Solyc04g081610	Unknown Protein 
Solyc04g081620	Unknown Protein 
Solyc04g081630	Heat shock protein 90 
Solyc04g081640	Endoplasmin homolog 
Solyc04g081650	Cyclin B 
Solyc04g081660	Cyclin B 
Solyc04g081670	Vacuolar processing enzyme-3 
Solyc04g081680	Unknown Protein 
Solyc04g081690	Unknown Protein 
Solyc04g081700	Unknown Protein 
Solyc04g081710	Unknown Protein 
Solyc04g081720	Unknown Protein 
Solyc04g081730	Unknown Protein 
Solyc04g081740	Prostaglandin E synthase 2-like 
Solyc04g081750	"FYVE, RhoGEF and PH domain-containing protein 6 "
Solyc04g081760	GDSL esterase/lipase At3g43570 
Solyc04g081770	GDSL esterase/lipase At5g42170 
Solyc04g081780	GDSL esterase/lipase At1g20120 
Solyc04g081790	GDSL esterase/lipase At5g42170 
Solyc04g081800	GDSL esterase/lipase At5g42170 
Solyc04g081810	Subtilisin-like protease 
Solyc04g081820	La domain containing protein expressed 
Solyc04g081830	UDP-glucosyltransferase 
Solyc04g081840	Unknown Protein 
Solyc04g081850	UPF0436 protein C9orf6 homolog 
Solyc04g081860	Peroxidase 
Solyc04g081870	Expansin 
Solyc04g081880	Ribonuclease P protein subunit p25 
Solyc04g081890	Ring H2 finger protein 
Solyc04g081900	Nucleoredoxin 1 
Solyc04g081910	Calcium-dependent protein kinase 
Solyc04g081920	Pseudouridine synthase 
Solyc04g081930	Prolyl 4-hydroxylase alpha-2 subunit 
Solyc04g081940	Unknown Protein 
Solyc04g081950	Pentatricopeptide repeat-containing protein 
Solyc04g081960	Syringolide-induced protein 14-1-1 
Solyc04g081970	Thioredoxin 
Solyc04g081980	F-box domain-containing protein 
Solyc04g081990	Transporter major facilitator superfamily and tetracycline resistance protein 
Solyc04g082000	Phospholipase D 
Solyc04g082010	Plastocyanin 
Solyc04g082020	DNL zinc finger family protein 
Solyc04g082030	Ornithine decarboxylase 
Solyc04g082040	Predicted mechanosensitive ion channel 
Solyc04g082050	Cellular retinaldehyde-binding/triple function C-terminal 
Solyc04g082060	F-box family protein 
Solyc04g082070	tRNA pseudouridine synthase family protein 
Solyc04g082080	Unknown Protein 
Solyc04g082090	Alpha-amylase 
Solyc04g082100	Unknown Protein 
Solyc04g082110	Rop guanine nucleotide exchange factor 1 
Solyc04g082120	Prolyl endopeptidase 
Solyc04g082130	THUMP domain protein 
Solyc04g082140	Laccase-22 
Solyc04g082150	Unknown Protein 
Solyc04g082160	HLA-B associated transcript 3 
Solyc04g082170	Alcohol dehydrogenase 1 
Solyc04g082180	Alcohol dehydrogenase 1 
Solyc04g082190	Neutral ceramidase 
Solyc04g082200	Dehydrin 
Solyc04g082210	Unknown Protein 
Solyc04g082220	Histidine amino acid transporter 
Solyc04g082230	Auxin-induced SAUR-like protein 
Solyc04g082240	CM0216.210.nc protein 
Solyc04g082250	"ATP-dependent zinc metalloprotease FTSH, chloroplastic "
Solyc04g082260	Receptor protein kinase-like protein 
Solyc04g082270	CM0216.210.nc protein 
Solyc04g082280	AT1G76250-like protein 
Solyc04g082290	Os03g0133300 protein 
Solyc04g082300	Histone-binding protein RBBP7 
Solyc04g082310	Seed maturation protein PM23 
Solyc04g082320	Pentatricopeptide repeat-containing protein 
Solyc04g082330	Pre-rRNA-processing protein TSR1 
Solyc04g082340	Carboxypeptidase B 
Solyc04g082350	Transferase family protein 
Solyc04g082360	F-box domain containing protein expressed 
Solyc04g082370	Unknown Protein 
Solyc04g082380	Unknown Protein 
Solyc04g082390	Dolichyl-phosphate beta-mannosyltransferase 
Solyc04g082400	1 4-alpha-glucan branching enzyme 
Solyc04g082410	BTB/POZ domain-containing protein 
Solyc04g082420	BTB/POZ domain-containing protein 
Solyc04g082430	B-like cyclin 
Solyc04g082440	U-box domain-containing protein 
Solyc04g082450	Unknown Protein 
Solyc04g082460	Catalase 
Solyc04g082470	WD repeat 2 
Solyc04g082480	Nodule inception protein 
Solyc04g082490	Niemann-Pick C1 protein 
Solyc04g082500	ATP binding / serine-threonine kinase 
Solyc04g082510	Serine/threonine-protein kinase 
Solyc04g082520	Ring zinc finger protein 
Solyc04g082530	Bromodomain-containing protein 
Solyc04g082540	Ser/Thr-rich protein T10 in DGCR region 
Solyc04g082550	Trehalose-6-phosphate phosphatase 
Solyc04g082560	Actin cytoskeleton-regulatory complex protein PAN1 
Solyc04g082570	U-box domain-containing protein 
Solyc04g082580	Kelch repeat-containing F-box family protein 
Solyc04g082590	Canopy homolog 2 
Solyc04g082600	Serine/threonine phosphatase family protein 
Solyc04g082610	Glutamate-gated kainate-type ion channel receptor subunit GluR5 
Solyc04g082620	Serine threonine-protein kinase 
Solyc04g082630	Glyceraldehyde-3-phosphate dehydrogenase B 
Solyc04g082640	Unknown Protein 
Solyc04g082650	Palmitoyltransferase erf2 
Solyc04g082660	Peptidyl-prolyl cis-trans isomerase 
Solyc04g082670	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 
Solyc04g082680	Chloroplast channel forming outer membrane protein 
Solyc04g082690	Ring finger protein 
Solyc04g082700	"Solute carrier family 2, facilitated glucose transporter member 12 "
Solyc04g082710	Cathepsin B-like cysteine proteinase 3 
Solyc04g082720	Small heat shock protein 
Solyc04g082730	Unknown Protein 
Solyc04g082740	Heat shock protein-like protein 
Solyc04g082750	3-beta hydroxysteroid dehydrogenase/isomerase family protein 
Solyc04g082760	SWI/SNF complex subunit SMARCC1 
Solyc04g082770	RNA-binding protein 68390-68829 
Solyc04g082780	Cinnamoyl CoA reductase-like 1 
Solyc04g082790	Atp-dependent RNA helicase 
Solyc04g082800	Unknown Protein 
Solyc04g082810	AT-hook DNA-binding protein 
Solyc04g082820	ARID/BRIGHT DNA-binding domain-containing protein 
Solyc04g082830	Auxin efflux carrier family protein 
Solyc04g082840	Cell division protein kinase 2 
Solyc04g082860	UDP-glucose glucosyltransferase 
Solyc04g082870	Pentatricopeptide repeat-containing protein 
Solyc04g082880	Diphosphate--fructose-6-phosphate 1-phosphotransferase 
Solyc04g082890	BZIP transcription factor protein 
Solyc04g082900	Mitotic checkpoint serine/threonine-protein kinase BUB1 
Solyc04g082910	Unknown Protein 
Solyc04g082920	"Chlorophyll a-b binding protein, chloroplastic "
Solyc04g082930	"Chlorophyll a-b binding protein 36, chloroplastic "
Solyc04g082940	CHP-rich zinc finger protein-like 
Solyc04g082950	Unknown Protein 
Solyc04g082960	TMV response-related protein 
Solyc04g082970	Os03g0859900 protein 
Solyc04g082980	TPR repeat-containing protein 
Solyc04g082990	ORF42f 
Solyc04g083000	Unknown Protein 
Solyc04g083010	Uncharacterized aarF domain-containing protein kinase 1 
Solyc04g083140	cytochrome P450
Solyc04g083150	cytochrome P450
Solyc04g083160	cytochrome P450
Solyc05g005000	Lipase 
Solyc05g005010	Carboxyl-terminal proteinase 
Solyc05g005020	R1 protein alpha-glucan water dikinase 
Solyc05g005030	Unknown Protein 
Solyc05g005040	Polygalacturonase 
Solyc05g005050	Cysteine-rich receptor-like protein kinase 
Solyc05g005060	S-receptor kinase 
Solyc05g005070	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc05g005080	Endo-1 4-beta-glucanase 
Solyc05g005090	Knotted-1-like homeobox protein H1 
Solyc05g005100	Os06g0207500 protein 
Solyc05g005110	F-box family protein 
Solyc05g005120	Unknown Protein 
Solyc05g005130	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g005140	"Receptor like kinase, RLK"
Solyc05g005150	F-box/Kelch repeat-containing F-box family protein 
Solyc05g005160	ATP-citrate lyase A-2 
Solyc05g005170	Polygalacturonase 2 
Solyc05g005180	Naphthoate synthase 
Solyc05g005190	ADP-ribosylation factor 
Solyc05g005200	Pyrrolidone-carboxylate peptidase 
Solyc05g005210	Baculoviral IAP repeat-containing 2 
Solyc05g005220	Unknown Protein 
Solyc05g005230	Uncharacterized plant-specific domain TIGR01589 family protein 
Solyc05g005240	YABBY-like transcription factor CRABS CLAW-like protein 
Solyc05g005250	Pantothenate kinase 
Solyc05g005260	Unknown Protein 
Solyc05g005270	Unknown Protein 
Solyc05g005280	Poly polymerase catalytic domain containing protein expressed 
Solyc05g005290	Poly polymerase catalytic domain containing protein expressed 
Solyc05g005300	BHLH transcription factor 
Solyc05g005310	NEDD8-specific protease 2 
Solyc05g005320	Unknown Protein 
Solyc05g005330	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g005340	Leafy cotyledon 1-like protein 
Solyc05g005350	Nuclear transcription factor Y subunit B-6 
Solyc05g005360	Nuclear transcription factor Y subunit B-6 
Solyc05g005370	Nuclear transcription factor Y subunit B-6 
Solyc05g005380	Nuclear transcription factor Y subunit B-6 
Solyc05g005390	Nuclear transcription factor Y subunit B-6 
Solyc05g005400	F-box family protein 
Solyc05g005410	F-box/LRR-repeat protein 25 
Solyc05g005420	F-box family protein 
Solyc05g005430	F-box family protein 
Solyc05g005440	Nuclear transcription factor Y subunit B-6 
Solyc05g005450	Protein SUPPRESSOR OF GENE SILENCING 3 homolog 
Solyc05g005460	Nucleoredoxin 2 
Solyc05g005470	Nucleoredoxin 1 
Solyc05g005480	Oxidoreductase zinc-binding dehydrogenase 
Solyc05g005490	Carbonic anhydrase 
Solyc05g005500	Unknown Protein 
Solyc05g005510	DNA-binding related protein 
Solyc05g005520	Peptidyl-prolyl cis-trans isomerase 
Solyc05g005530	Senescence-associated protein 5 
Solyc05g005540	BURP domain-containing protein 
Solyc05g005550	BURP domain-containing protein 
Solyc05g005560	BURP domain-containing protein 
Solyc05g005570	BURP domain-containing protein 
Solyc05g005580	Expressed protein 
Solyc05g005590	Ribosomal RNA large subunit methyltransferase N 
Solyc05g005600	Metal-dependent phosphohydrolase HD domain-containing protein 
Solyc05g005610	SAM domain and HD domain-containing protein 1 
Solyc05g005620	RNA-binding protein 25 
Solyc05g005630	Sentrin/SUMO-specific protease 15 
Solyc05g005640	PHD finger family protein / methyl-CpG binding domain-containing protein 
Solyc05g005650	Unknown Protein 
Solyc05g005660	Receptor-like kinase 
Solyc05g005670	U-box domain-containing protein 
Solyc05g005680	Xyloglucan endotransglucosylase/hydrolase 2 
Solyc05g005690	30S ribosomal protein S9 
Solyc05g005700	Aldehyde dehydrogenase 1 
Solyc05g005710	Spermidine synthase 
Solyc05g005720	Potassium transporter family protein 
Solyc05g005730	RRP15-like protein 
Solyc05g005740	Potassium transporter 
Solyc05g005750	Alpha alpha-trehalose-phosphate synthase 
Solyc05g005760	NHL repeat-containing protein 
Solyc05g005770	NHL repeat-containing protein 
Solyc05g005780	AP-1 complex subunit gamma-1 
Solyc05g005790	RING finger protein 
Solyc05g005800	Threonyl-tRNA synthetase 
Solyc05g005810	Uncharacterized basic helix-loop-helix protein At1g06150 
Solyc05g005820	Glyceraldehyde-3-phosphate dehydrogenase 
Solyc05g005830	Nodulin-like protein 
Solyc05g005840	Nodulin MtN21 family protein 
Solyc05g005850	Nodulin-like protein 
Solyc05g005860	Nodulin-like protein 
Solyc05g005870	Nodulin MtN21 family protein 
Solyc05g005880	30S ribosomal protein S13 
Solyc05g005890	Unknown Protein 
Solyc05g005900	GCN5-related protein 
Solyc05g005910	Peptide transporter 
Solyc05g005920	Peptide transporter 
Solyc05g005930	UDP-glucosyltransferase 
Solyc05g005940	Solute carrier family 15 member 4 
Solyc05g005950	Solute carrier family 15 member 4 
Solyc05g005960	Peptide transporter 1 
Solyc05g005970	Peptide transporter 
Solyc05g005980	Solute carrier family 15 member 4 
Solyc05g005990	Solute carrier family 15 member 2 
Solyc05g006000	Solute carrier family 15 member 4 
Solyc05g006010	Peptide transporter 
Solyc05g006020	Nucleobase ascorbate transporter 
Solyc05g006030	Genomic DNA chromosome 5 P1 clone MQB2 
Solyc05g006040	Unknown Protein 
Solyc05g006050	Cyclin D1 
Solyc05g006060	Unknown Protein 
Solyc05g006070	RNA recognition motif 
Solyc05g006080	Oligosaccharyltransferase complex subunit ostc-B 
Solyc05g006090	Phosphoglycerate mutase 
Solyc05g006100	YuxK 
Solyc05g006110	Unknown Protein 
Solyc05g006120	Polymerase 
Solyc05g006130	ATP-dependent RNA helicase 
Solyc05g006140	UDP-glucosyltransferase family 1 protein 
Solyc05g006150	UDP-glucose glucosyltransferase 
Solyc05g006160	Gibberellin-regulated protein 2 
Solyc05g006170	"NACHT, LRR and PYD domains-containing protein 5 "
Solyc05g006180	Histone acetyltransferase 5 
Solyc05g006190	Unknown Protein 
Solyc05g006200	tRNA 
Solyc05g006210	Glucan endo-1 3-beta-glucosidase 6 
Solyc05g006220	IAA-amino acid hydrolase 
Solyc05g006230	Peroxidase 
Solyc05g006240	Chaperone protein dnaJ 16 
Solyc05g006250	Lysine-specific histone demethylase 1 homolog 2 
Solyc05g006260	Unknown Protein 
Solyc05g006270	Unknown Protein 
Solyc05g006280	Unknown Protein 
Solyc05g006290	F-box family protein 
Solyc05g006300	Unknown Protein 
Solyc05g006310	Zinc finger protein 6 
Solyc05g006320	SAM domain family protein 
Solyc05g006330	Unknown Protein 
Solyc05g006340	WD-40 repeat family protein 
Solyc05g006350	Unknown Protein 
Solyc05g006360	Matrix metalloproteinase 
Solyc05g006370	Unknown Protein 
Solyc05g006380	Unknown Protein 
Solyc05g006390	Unknown Protein 
Solyc05g006400	Genomic DNA chromosome 5 P1 clone MBG8 
Solyc05g006410	Zinc finger MYND-type containing 15 
Solyc05g006420	Two-component response regulator ARR3 
Solyc05g006430	Formin 3 
Solyc05g006440	Homology to unknown gene 
Solyc05g006450	Serine carboxypeptidase 
Solyc05g006460	Pentatricopeptide repeat-containing protein 
Solyc05g006470	Actin-related protein 2/3 complex subunit 1B 
Solyc05g006490	F3I6.9 protein 
Solyc05g006500	Germin-like protein 5 
Solyc05g006510	Glycosyltransferase family GT8 protein 
Solyc05g006520	Pyruvate dehydrogenase E1 component alpha subunit 
Solyc05g006530	ATP-dependent RNA helicase 
Solyc05g006540	Paired amphipathic helix protein SIN3 
Solyc05g006550	Microtubule-associated protein TORTIFOLIA1 
Solyc05g006560	Ring zinc finger protein 
Solyc05g006570	"Receptor like kinase, RLK"
Solyc05g006580	Unknown Protein 
Solyc05g006590	Serine/threonine-protein phosphatase 
Solyc05g006600	Unknown Protein 
Solyc05g006610	Unknown Protein 
Solyc05g006620	"Tir-nbs-lrr, resistance protein"
Solyc05g006630	"Tir-nbs-lrr, resistance protein"
Solyc05g006640	Phospholipid-transporting ATPase 
Solyc05g006650	Transcription factor 
Solyc05g006660	cDNA clone J075153F01 full insert sequence 
Solyc05g006670	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc05g006680	Beta-1 3-galactosyltransferase-like protein 
Solyc05g006690	Os06g0524700 protein 
Solyc05g006700	Wall-associated receptor kinase-like 20 
Solyc05g006710	Unknown Protein 
Solyc05g006720	Glucose/sorbosone dehydrogenase-like protein 
Solyc05g006730	Glutathione S-transferase 3 
Solyc05g006740	Glutathione S-transferase 
Solyc05g006750	Glutathione S-transferase 1 
Solyc05g006760	Tetratricopeptide repeat protein 38 
Solyc05g006770	Kinase family protein 
Solyc05g006780	NPH3 domain containing protein-like 
Solyc05g006790	cDNA clone J023121M11 full insert sequence 
Solyc05g006800	Pentatricopeptide repeat-containing protein 
Solyc05g006810	FAD-binding monooxygenase PheA/TfdB family 
Solyc05g006820	Chaperone protein dnaJ 2 
Solyc05g006830	Thioredoxin H 
Solyc05g006840	Unknown Protein 
Solyc05g006850	Thioredoxin H 
Solyc05g006860	Thioredoxin H 
Solyc05g006870	Thioredoxin H 
Solyc05g006880	Unknown Protein 
Solyc05g006890	Eukaryotic translation initiation factor 5A 
Solyc05g006900	Unknown Protein 
Solyc05g006910	AMP deaminase 
Solyc05g006920	Peptide transporter 
Solyc05g006930	5&apos;-AMP-activated protein kinase subunit beta-2 
Solyc05g006940	Regulator of chromosome condensation 
Solyc05g006950	Conserved oligomeric Golgi complex subunit 7 
Solyc05g006960	Homeobox-leucine zipper protein ATHB-54 
Solyc05g006970	Small multidrug export protein 
Solyc05g006980	Homeobox-leucine zipper-like protein 
Solyc05g006990	Nitrate transporter 
Solyc05g007000	Nitrate transporter 
Solyc05g007010	Glyoxal oxidase 
Solyc05g007020	Potassium voltage-gated channel subfamily H member 1 
Solyc05g007030	AT3g17900/MEB5_12 
Solyc05g007040	Unknown Protein 
Solyc05g007050	ATP binding / serine-threonine kinase 
Solyc05g007060	Bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase protein 
Solyc05g007070	Alpha amylase 2 
Solyc05g007080	Pectate lyase family protein 
Solyc05g007090	Zinc knuckle 
Solyc05g007100	DNA-binding protein p24 
Solyc05g007110	WRKY transcription factor 72 
Solyc05g007120	"Receptor like kinase, RLK"
Solyc05g007130	Calmodulin binding protein 
Solyc05g007140	Receptor-like protein kinase At3g21340 
Solyc05g007150	UDP-galactose transporter 3 
Solyc05g007160	Transcription factor C-MYB 
Solyc05g007170	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g007180	Homeobox-leucine zipper-like protein 
Solyc05g007190	Sucrose transporter-like protein 
Solyc05g007200	RNA recognition motif containing protein 
Solyc05g007210	DNA-binding protein-like 
Solyc05g007220	Kelch repeat-containing F-box family protein 
Solyc05g007230	"Receptor like kinase, RLK"
Solyc05g007240	TO109-12 
Solyc05g007250	Ribosomal protein 
Solyc05g007260	Ribulose-phosphate 3-epimerase 
Solyc05g007270	Uncharacterized plant-specific domain TIGR01589 family protein 
Solyc05g007280	Protein Brevis radix-like 1 
Solyc05g007290	Regulator of chromosome condensation domain-containing protein 
Solyc05g007300	Receptor expression-enhancing protein 5 
Solyc05g007310	Aromatic amino acid decarboxylase 1B 
Solyc05g007330	Histidine decarboxylase 
Solyc05g007340	Unknown Protein 
Solyc05g007350	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g007360	F-box family protein 
Solyc05g007370	F-box family protein 
Solyc05g007380	F-box family protein 
Solyc05g007390	FAM65A protein related 
Solyc05g007400	F-box family protein 
Solyc05g007410	FAM65A protein related 
Solyc05g007420	TCP family transcription factor 
Solyc05g007430	Os11g0198100 protein 
Solyc05g007440	DNA-binding protein HGH1 
Solyc05g007450	Origin recognition complex subunit 6 
Solyc05g007460	Sphingosine hydroxylase 
Solyc05g007470	AAA-ATPase 
Solyc05g007480	Phytochrome kinase substrate 1 
Solyc05g007490	Dehydration-responsive family protein 
Solyc05g007500	CAAX amino terminal protease family protein 
Solyc05g007510	RNA-dependent RNA polymerase 
Solyc05g007520	FAM65A protein related 
Solyc05g007530	F-box family protein 
Solyc05g007540	Cold acclimation protein WCOR518 related 
Solyc05g007550	NAC domain transcription factor 
Solyc05g007560	60S ribosomal protein L34 
Solyc05g007570	cDNA clone J023065D24 full insert sequence 
Solyc05g007580	Zinc finger-homeodomain protein 1 
Solyc05g007590	Isopenicillin N epimerase-like 
Solyc05g007600	Unknown Protein 
Solyc05g007610	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g007620	R1 
Solyc05g007630	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g007640	"Cc-nbs-lrr, resistance protein with an R1 specific domain"
Solyc05g007650	Unknown Protein 
Solyc05g007660	E3 ubiquitin-protein ligase MARCH3 
Solyc05g007670	Ectonucleoside triphosphate diphosphohydrolase 1 
Solyc05g007680	Laminin G sub domain 2 
Solyc05g007690	MYB transcription factor 
Solyc05g007700	Transposon-like element Lyt2-2 DNA 
Solyc05g007710	MYB transcription factor 
Solyc05g007720	Unknown Protein 
Solyc05g007730	Mitochondrial carrier protein 
Solyc05g007740	Pentatricopeptide repeat-containing protein 
Solyc05g007750	Anaphase promoting complex subunit 2 
